,fail_magnitude_wo_rebal,station_time_failed_wo_rebal,station_time_failed_capw_wo_rebal,fail_magnitude_w_rebal,station_time_failed_w_rebal,station_time_failed_capw_w_rebal,total_km_travelled,rebalancing cost($),unmeet_demand_cost_wo_rebal ($),unmeet_demand_cost_w_rebal ($),rebalancing_gain ($)
2017-11-20,840.0,3.5000000000000004,4.2,8.0,0.4,0.0,438.0,613.0,2520.0,24.0,1883.0
2017-11-21,879.0,3.8,4.3999999999999995,47.0,0.4,0.1,949.0,1329.0,2637.0,141.0,1167.0
2017-11-22,404.0,1.9,2.1999999999999997,4.0,0.4,0.0,393.0,550.0,1212.0,12.0,650.0
2017-11-23,15.0,0.7000000000000001,0.3,7.0,0.4,0.1,457.0,640.0,45.0,21.0,-616.0
2017-11-24,90.0,1.0,0.8,2.0,0.4,0.0,255.0,357.0,270.0,6.0,-93.0
2017-11-25,69.0,1.0,0.8,0.0,0.3,0.0,130.0,182.0,207.0,0.0,25.0
2017-11-26,23.0,0.8,0.5,0.0,0.3,0.0,111.0,155.0,69.0,0.0,-86.0
2017-11-27,1105.0,4.5,5.2,13.0,0.4,0.0,468.0,655.0,3315.0,39.0,2621.0
2017-11-28,1303.0,5.5,6.4,41.0,0.4,0.1,821.0,1149.0,3909.0,123.0,2637.0
2017-11-29,1145.0,4.6,5.2,4.0,0.4,0.1,696.0,974.0,3435.0,12.0,2449.0
2017-11-30,1295.0,4.8,5.800000000000001,4.0,0.4,0.0,317.0,444.0,3885.0,12.0,3429.0
2017-12-01,1083.0,3.9,4.6,0.0,0.3,0.0,391.0,547.0,3249.0,0.0,2702.0
2017-12-02,112.0,1.6,1.4000000000000001,1.0,0.4,0.0,246.0,344.0,336.0,3.0,-11.0
2017-12-03,136.0,1.6,1.5,0.0,0.3,0.0,124.0,174.0,408.0,0.0,234.0
2017-12-04,1096.0,4.7,5.4,16.0,0.4,0.0,531.0,743.0,3288.0,48.0,2497.0
2017-12-05,703.0,3.0,3.5999999999999996,32.0,0.4,0.2,970.0,1358.0,2109.0,96.0,655.0
2017-12-06,741.0,3.2,3.8,14.0,0.4,0.1,703.0,984.0,2223.0,42.0,1197.0
2017-12-07,529.0,2.5,3.0,38.0,0.4,0.1,793.0,1110.0,1587.0,114.0,363.0
2017-12-08,431.0,2.1999999999999997,2.6,11.0,0.4,0.1,616.0,862.0,1293.0,33.0,398.0
2017-12-09,0.0,0.4,0.1,0.0,0.3,0.0,155.0,217.0,0.0,0.0,-217.0
2017-12-10,4.0,0.4,0.1,0.0,0.3,0.0,96.0,134.0,12.0,0.0,-122.0
2017-12-11,544.0,2.1999999999999997,2.6,1.0,0.4,0.0,371.0,519.0,1632.0,3.0,1110.0
2017-12-12,313.0,2.0,2.3,13.0,0.4,0.1,515.0,721.0,939.0,39.0,179.0
2017-12-13,502.0,2.3,2.7,6.0,0.4,0.0,464.0,650.0,1506.0,18.0,838.0
2017-12-14,466.0,2.1999999999999997,2.7,9.0,0.4,0.1,397.0,556.0,1398.0,27.0,815.0
2017-12-15,401.0,2.1,2.3,0.0,0.3,0.0,422.0,591.0,1203.0,0.0,612.0
2017-12-16,31.0,0.8,0.5,0.0,0.3,0.0,116.0,162.0,93.0,0.0,-69.0
2017-12-17,20.0,0.7000000000000001,0.3,0.0,0.3,0.0,122.0,171.0,60.0,0.0,-111.0
2017-12-18,528.0,2.5,2.9000000000000004,0.0,0.3,0.0,238.0,333.0,1584.0,0.0,1251.0
2017-12-19,743.0,3.3000000000000003,3.8,1.0,0.4,0.0,369.0,517.0,2229.0,3.0,1709.0
